raceId,driverId,constructorId,grid,position,positionText,points,statusId,position_change,year,era
341,17,9,1,1,1,25.0,1,0,2010,2010-2013
341,4,6,4,2,2,18.0,1,2,2010,2010-2013
341,20,9,2,3,3,15.0,1,-1,2010,2010-2013
341,30,131,6,4,4,12.0,1,2,2010,2010-2013
341,18,1,5,5,5,10.0,1,0,2010,2010-2013
341,13,6,9,6,6,8.0,1,3,2010,2010-2013
341,16,10,11,7,7,6.0,1,4,2010,2010-2013
341,9,4,7,8,8,4.0,1,-1,2010,2010-2013
341,22,3,17,9,9,2.0,11,8,2010,2010-2013
341,153,5,15,10,10,1.0,11,5,2010,2010-2013
341,808,4,19,11,11,0.0,11,8,2010,2010-2013
341,155,15,10,12,12,0.0,11,-2,2010,2010-2013
341,3,131,8,13,13,0.0,11,-5,2010,2010-2013
341,1,1,3,14,14,0.0,29,-11,2010,2010-2013
341,24,10,16,15,15,0.0,5,1,2010,2010-2013
341,807,3,13,16,16,0.0,12,-3,2010,2010-2013
341,15,205,18,17,17,0.0,13,1,2010,2010-2013
341,10,166,22,18,18,0.0,13,4,2010,2010-2013
341,810,166,23,19,19,0.0,14,4,2010,2010-2013
341,67,5,14,,R,0.0,9,,2010,2010-2013
341,812,164,24,,R,0.0,22,,2010,2010-2013
341,37,15,12,,R,0.0,4,,2010,2010-2013
341,811,164,21,,R,0.0,3,,2010,2010-2013
341,5,205,20,,W,0.0,6,,2010,2010-2013
342,17,9,1,1,1,25.0,1,0,2010,2010-2013
342,20,9,3,2,2,18.0,1,1,2010,2010-2013
342,9,4,2,3,3,15.0,1,-1,2010,2010-2013
342,13,6,4,4,4,12.0,1,0,2010,2010-2013
342,1,1,5,5,5,10.0,1,0,2010,2010-2013
342,4,6,24,6,6,8.0,1,18,2010,2010-2013
342,3,131,6,7,7,6.0,1,-1,2010,2010-2013
342,16,10,12,8,8,4.0,1,4,2010,2010-2013
342,24,10,10,9,9,2.0,1,1,2010,2010-2013
342,67,5,13,10,10,1.0,1,3,2010,2010-2013
342,153,5,17,11,11,0.0,1,6,2010,2010-2013
342,30,131,7,12,12,0.0,1,-5,2010,2010-2013
342,808,4,14,13,13,0.0,23,1,2010,2010-2013
342,812,164,23,14,14,0.0,4,9,2010,2010-2013
342,15,205,19,15,15,0.0,4,4,2010,2010-2013
342,5,205,18,,R,0.0,38,,2010,2010-2013
342,811,164,22,,R,0.0,9,,2010,2010-2013
342,22,3,9,,R,0.0,22,,2010,2010-2013
342,155,15,16,,R,0.0,6,,2010,2010-2013
342,810,166,21,,R,0.0,36,,2010,2010-2013
342,10,166,20,,R,0.0,49,,2010,2010-2013
342,37,15,15,,R,0.0,9,,2010,2010-2013
342,18,1,8,,R,0.0,5,,2010,2010-2013
342,807,3,11,,R,0.0,33,,2010,2010-2013
343,1,1,2,1,1,25.0,1,1,2010,2010-2013
343,18,1,4,2,2,18.0,1,2,2010,2010-2013
343,17,9,1,3,3,15.0,1,-2,2010,2010-2013
343,30,131,5,4,4,12.0,1,1,2010,2010-2013
343,3,131,6,5,5,10.0,1,1,2010,2010-2013
343,9,4,7,6,6,8.0,1,1,2010,2010-2013
